nyc_tractIDs,events_2001,pop_2001
36047049400,4,5567
36047049500,17,2713
36047049600,6,4555
36047049700,9,2271
36047049800,6,4086
36047049900,3,1660
36047050000,12,3660
36047050100,4,2659
36047050202,4,2155
36047050300,7,2720
36047050400,14,4471
36047050500,6,4207
36047050600,30,6171
36047050700,22,883
36047050900,4,2024
36047051100,6,3750
36047051200,15,6823
36047051300,7,4359
36047051400,42,7659
36047051500,5,927
36047051700,0,1538
36047051800,9,3651
36047051900,9,3096
36047052000,2,4382
36047052300,7,5702
36047052500,9,3534
36047052600,19,4499
36047052700,10,7211
36047052800,1,2077
36047052900,7,4263
36047053000,9,3555
36047053100,2,3027
36047053200,6,2740
36047053300,5,7461
36047053400,18,4590
36047053500,11,4827
36047053700,6,2124
36047053800,11,4677
36047053900,2,3869
36047054200,3,4467
36047054300,4,31
36047054400,2,3675
36047054500,2,7768
36047054600,4,4548
36047054700,6,3552
36047054800,1,2068
36047054900,1,1652
36047055000,6,3568
36047055100,2,4341
36047055200,16,3491
36047055300,2,2586
36047055400,10,4276
36047055500,2,977
36047055600,4,3797
36047055700,0,1202
36047055800,4,2518
36047056000,4,3562
36047056200,1,1671
36047056300,0,4311
36047056400,1,2444
36047056500,6,3502
36047056600,3,2563
36047056800,3,1339
36047056900,5,1660
36047057000,5,3301
36047057100,5,5014
36047057200,2,5615
36047057300,3,2771
36047057400,5,2630
36047057500,3,4931
36047057600,2,2844
36047057800,3,3006
36047057900,3,1338
36047058000,4,3171
36047058200,5,2995
36047058400,0,3537
36047058600,1,2346
36047058800,1,3451
36047058900,0,1787
36047059000,3,1879
36047059100,3,4241
36047059200,8,3975
36047059300,0,2463
36047059401,2,7850
36047059402,14,4606
36047059600,1,2256
36047059800,0,3323
36047060000,6,6111
36047060600,10,2480
36047060800,12,3710
36047061002,4,2924
36047061200,4,1166
36047061600,2,1535
36047062200,3,3083
36047062600,1,2727
36047062800,2,5481
36047063200,6,1376
36047063600,0,1278
36047063800,3,1509
36047064000,1,1499
36047064200,7,2675
36047064400,0,2322
36047064600,0,2076
36047064800,0,1971
36047065000,8,1423
36047065200,2,1178
36047065400,2,1611
36047065600,0,1814
36047065800,3,1841
36047066000,0,1674
36047066200,2,1371
36047066600,1,1
36047067000,9,2396
36047067200,5,1328
36047067400,0,2005
36047067600,4,1730
36047067800,0,2639
36047068000,2,1783
36047068200,1,2258
36047068600,1,1545
36047068800,3,1564
36047069000,1,1774
36047069200,1,2356
36047069800,7,1237
36047070000,1,1732
36047070201,1,6508
36047070202,0,163
36047070203,0,0
36047070600,0,2858
36047072000,2,1694
36047072200,1,2833
36047072400,2,1962
36047072600,2,2491
36047072800,1,3720
36047073000,1,2292
36047073200,0,2320
36047073400,2,2138
36047073600,4,3357
36047073800,5,3298
36047074000,6,3613
36047074200,2,3343
36047074400,1,2362
36047074600,8,1986
36047074800,5,2086
36047075000,0,3135
36047075200,0,1246
36047075400,1,1589
36047075600,2,1976
36047075800,0,1871
36047076000,2,2971
36047076200,6,4627
36047076400,8,4121
36047076600,1,2272
36047077000,10,3029
36047077200,9,3333
36047077400,12,3097
36047077600,1,4090
36047078000,2,2509
36047078200,4,4274
36047078400,2,2699
36047078600,18,4449
36047078800,12,3740
36047079000,51,5828
36047079200,18,3870
36047079400,36,1924
36047080000,12,3883
36047080200,24,4765
36047080400,29,3366
36047080600,8,2832
36047081000,2,2429
36047081400,12,3036
36047081600,20,2989
36047081800,31,5184
36047082000,33,5380
36047082200,9,7446
36047082400,18,4475
36047082600,19,5997
36047082800,12,3967
36047083000,7,6507
36047083200,2,2535
36047083400,4,2089
36047083600,5,2159
36047083800,6,2488
36047084000,8,2502
36047084600,12,2143
36047084800,2,1788
36047085000,4,1430
36047085200,0,1
36047085400,2,2195
36047085600,10,3869
36047085800,4,2441
36047086000,26,3641
36047086200,0,3354
36047086400,10,2144
36047086600,4,3208
36047086800,32,3410
36047087000,6,3216
36047087200,8,3551
36047087401,6,3297
36047087600,16,1710
36047087800,24,3149
36047088000,17,2736
36047088200,35,6765
36047088400,30,5105
36047088600,55,4628
36047088800,21,4103
36047089000,55,6541
36047089200,35,3976
36047089400,20,3640
36047089600,15,3644
36047089800,15,1586
36047090000,45,5517
36047090200,20,4741
36047090600,70,4666
36047090800,35,2952
36047091000,25,5638
36047091200,30,7288
36047091600,40,4247
36047091800,10,2843
36047092000,45,2919
36047092200,6,2848
36047092800,2,2787
36047093000,2,2752
36047093400,6,2402
36047093600,6,1851
36047093800,4,2627
36047094401,1,3197
36047094402,1,2832
36047095000,9,3154
36047095400,3,4730
36047095600,8,3974
36047095800,1,3362
36047096000,1,3
36047096200,4,1679
36047096400,6,2182
36047096600,3,2131
36047096800,6,1403
36047097000,2,2080
36047097400,5,2612
36047098200,7,4518
36047098400,1,2058
36047098600,5,3101
36047098800,4,3072
36047099000,3,1520
36047099200,2,1845
36047099400,2,1934
36047099600,4,3852
36047099800,1,3741
36047100400,1,2758
36047100600,0,2572
36047100800,3,2090
36047101000,2,2172
36047101200,1,2007
36047101400,0,2186
36047101600,1,1561
36047101800,0,2004
36047102000,1,2041
36047102200,9,2103
36047102400,1,2052
36047102600,1,2775
36047102800,1,1705
36047103400,0,3948
36047107000,0,298
36047107800,11,4370
36047109800,8,1532
36047110600,35,4282
36047111000,15,3478
36047111800,2,2666
36047112000,16,3144
36047112200,25,2961
36047112400,20,3269
36047112600,25,3642
36047112800,40,3926
36047113000,15,3580
36047113200,25,1442
36047113400,40,2981
36047114201,15,1719
36047114202,5,2534
36047114600,10,3032
36047115000,10,1847
36047115200,40,2582
36047115600,20,4101
36047115800,15,2936
36047116000,5,2598
36047116200,15,2276
36047116400,3,2782
36047116600,5,2628
36047116800,4,1967
36047117000,38,1840
36047117201,5,2892
36047117202,2,4249
36047117400,8,4273
36047117601,5,2673
36047117602,1,3187
36047117800,7,1716
36047118000,1,0
36047118201,1,2912
36047118202,3,3059
36047118400,8,5136
36047118600,5,3117
36047118800,5,4569
36047119000,6,2000
36047119200,2,2461
36047119400,4,3426
36047119600,7,5015
36047120000,4,2238
36047120200,5,1916
36047120800,9,8529
36047121000,4,3991
36047121400,1,4381
36047122000,3,2848
36061000201,4,3303
36061000202,0,6884
36061000500,0,2
36061000600,29,12186
36061000700,5,1626
36061000800,44,10855
36061000900,13,1072
36061001001,4,1369
36061001002,12,6714
36061001200,24,3460
36061001300,15,1820
36061001401,16,2966
36061001402,24,2996
36061001501,11,4658
36061001502,14,4290
36061001600,300,9487
36061001800,80,10007
36061002000,20,5150
36061002100,20,2770
36061002201,12,6620
36061002202,5,1620
36061002400,0,5115
36061002500,3,5174
36061002601,1,3437
36061002602,3,3769
36061002700,3,1491
36061002800,5,6742
36061002900,24,7320
36061003001,32,4297
36061003002,5,3263
36061003100,22,1809
36061003200,11,8039
36061003300,26,3842
36061003400,8,6567
36061003601,24,3292
36061003602,12,2450
36061003800,12,9168
36061003900,4,4449
36061004000,13,8686
36061004100,15,8843
36061004200,9,3812
36061004300,6,4823
36061004500,14,1073
36061004700,10,2468
36061004800,18,6485
36061004900,10,5003
36061005000,22,5629
36061005200,23,3707
36061005400,18,4012
36061005501,8,4837
36061005502,11,2194
36061005600,24,2651
36061005700,6,2559
36061005800,15,943
36061005900,5,5563
36061006000,6,4040
36061006100,18,5113
36061006200,6,2337
36061006300,9,6276
36061006400,22,7410
36061006500,10,6640
36061006600,13,11830
36061006700,7,5627
36061006800,17,6838
36061006900,5,2382
36061007000,23,7875
36061007100,15,5601
36061007200,47,8168
36061007300,14,6650
36061007400,16,3772
36061007500,2,4164
36061007600,34,2471
36061007700,13,6128
36061007800,24,7563
36061007900,4,4583
36061008000,27,5391
36061008100,14,7428
36061008200,18,2814
36061008300,17,3539
36061008400,25,1097
36061008700,11,4797
36061008800,15,7313
36061008900,8,5359
36061009000,19,7629
36061009100,19,4728
36061009200,26,1382
36061009300,12,8721
36061009400,23,52
36061009500,12,2729
36061009600,22,206
36061009700,9,4889
36061009800,19,7091
36061009900,15,1233
36061010000,24,1839
36061010100,33,326
36061010200,25,265
36061010300,18,1523
36061010400,10,1084
36061010601,8,7907
36061010602,8,4041
36061010800,14,8175
36061010900,24,205
36061011000,23,6775
36061011100,11,3096
36061011201,19,1035
36061011202,10,387
36061011203,29,1269
36061011300,23,301
36061011401,11,1476
36061011402,13,2371
36061011500,42,1550
36061011600,8,3827
36061011700,5,642
36061011800,12,8621
36061011900,28,1376
36061012000,16,3965
36061012100,18,8315
36061012200,24,3886
36061012400,18,10664
36061012500,40,1858
36061012600,14,12883
36061012700,30,7243
36061012800,13,6602
36061012900,19,4614
36061013000,4,4580
36061013100,20,2159
36061013200,9,9780
36061013300,13,5844
36061013400,17,10716
36061013500,16,3814
36061013600,7,15354
36061013700,35,6764
36061013800,7,12596
36061013900,20,9741
36061014000,5,7760
36061014200,9,4929
36061014300,27,19
36061014401,2,4884
36061014402,10,6398
36061014500,13,4524
36061014601,8,3889
36061014602,2,8223
36061014700,4,2283
36061014801,8,2900
36061014802,20,6959
36061014900,14,5945
36061015001,1,2253
36061015002,5,5824
36061015100,9,7213
36061015200,12,6946
36061015300,9,9068
36061015400,13,13127
36061015500,4,6566
36061015601,2,5472
36061015602,13,1668
36061015700,13,10941
36061015801,9,5788
36061015802,1,3206
36061015900,7,9326
36061016001,3,4129
36061016002,6,3160
36061016100,9,6682
36061016200,11,9991
36061016300,5,6769
36061016400,16,6000
36061016500,15,6597
36061016600,17,7326
36061016700,5,6899
36061016800,14,4310
36061016900,7,8588
36061017000,9,8127
36061017100,9,9560
36061017300,6,8986
36061017401,1,5764
36061017402,3,2164
36061017500,11,10734
36061017700,7,9572
36061017800,15,4077
36061017900,14,9477
36061018000,9,7813
36061018100,10,9061
36061018200,15,6851
36061018300,30,9067
36061018400,4,6189
36061018500,4,3824
36061018600,2,5732
36061018700,8,9723
36061018800,19,6425
36061018900,18,11849
36061019000,3,1945
36061019100,18,9051
36061019200,2,3794
36061019300,16,9376
36061019400,20,6816
36061019500,20,8081
36061019600,16,3769
36061019701,0,84
36061019702,5,2088
36061019800,4,1557
36061019900,8,9176
36061020000,4,2428
36061020101,2,2167
36061020102,2,3620
36061020300,4,3588
36061020500,0,5133
36061020600,2,2375
36061020701,0,2626
36061020800,5,4123
36061020901,7,3470
36061021000,3,6624
36061021100,16,10678
36061021200,16,4192
36061021400,5,3145
36061021600,3,7944
36061021800,9,5179
36061021900,12,6385
36061022000,4,5100
36061022102,10,2063
36061022200,8,2435
36061022301,14,8361
36061022302,2,3936
36061022400,12,6232
36061022500,16,11013
36061022600,22,3618
36061022800,70,4696
36061022900,32,8789
36061023000,30,7980
36061023200,56,8307
36061023300,12,6101
36061023400,9,3625
36061023501,11,6122
36061023502,0,2019
36061023600,7,5761
36061023700,21,7214
36061023900,1,2654
36061024000,0,1412
36061024100,13,8231
36061024301,10,4262
36061024302,0,7385
36061024500,28,15747
36061024700,5,7689
36061024900,1,1147
36061025100,13,2949
36061025300,11,12600
36061025500,8,6773
36061026100,26,12981
36061026300,14,9701
36061026500,10,7915
36061026700,2,1949
36061026900,24,9780
36061027100,22,8827
36061027300,0,6276
36061027500,0,2732
36061027700,4,8010
36061027900,11,11617
36061028100,0,2572
36061028300,4,8295
36061028500,12,8275
36061028700,9,4496
36061029100,17,12301
36061029300,12,9473
36061029500,1,7522
36061029700,0,16
36061030300,6,4136
36061030700,1,3570
36061030900,2,7885
36061031100,3,18
36061031900,0,299
36081000100,2,1728
36081000200,2,2930
36081000400,2,4714
36081000600,2,3718
36081000700,7,4105
36081000800,2,3204
36081001000,5,3202
36081001200,0,3805
36081001400,3,3310
36081001600,2,2702
36081001800,1,2809
36081001900,13,822
36081002000,2,1378
36081002200,5,2376
36081002400,2,2161
36081002500,5,6694
36081002600,0,2124
36081002800,0,3077
36081003000,1,1368
36081003100,2,1703
36081003200,10,1543
36081003400,8,2318
36081003600,0,3119
36081003700,0,1272
36081003800,2,2220
36081003900,1,1523
36081004001,10,1821
36081004002,3,1255
36081004200,2,3777
36081004300,1,2557
36081004401,2,3175
36081004500,3,3146
36081004700,5,4390
36081005000,1,98
36081005100,0,2496
36081005200,4,2450
36081005300,6,5903
36081005400,6,5249
36081005500,1,1200
36081005700,2,4845
36081005800,6,5553
36081005900,4,4718
36081006100,2,6639
36081006300,12,6922
36081006900,4,4544
36081007100,12,4512
36081007300,4,4817
36081007500,2,4478
36081007700,5,1344
36081007900,3,3489
36081008100,1,998
36081008300,1,3097
36081008600,5,2714
36081008700,1,4549
36081008800,2,3040
36081009100,0,2737
36081009400,7,3078
36081009500,1,2696
36081009600,2,3353
36081009700,2,3591
36081009800,4,2918
36081009900,1,0
36081010000,3,3485
36081010100,0,2957
36081010200,10,2732
36081010300,3,4756
36081010400,9,3447
36081010500,2,4659
36081010600,16,3476
36081010800,3,3030
36081011000,0,3098
36081011100,1,3123
36081011200,10,2257
36081011300,4,5153
36081011400,6,1142
36081011500,2,3548
36081011600,4,2076
36081011700,4,4315
36081011800,7,2446
36081011900,2,1948
36081012000,2,2533
36081012100,3,2520
36081012200,8,3087
36081012400,4,2933
36081012601,1,2431
36081012602,1,2540
36081012800,1,2069
36081013000,2,1678
36081013200,5,1783
36081013400,4,5517
36081013500,0,1729
36081013600,1,2160
36081013700,3,1483
36081013800,4,3605
36081014000,5,4137
36081014100,0,1935
36081014201,1,4371
36081014202,5,2941
36081014300,2,4465
36081014400,4,1980
36081014500,1,2280
36081014700,5,3246
36081014800,1,2275
36081014900,3,3087
36081015000,1,2513
36081015100,4,3113
36081015200,3,2667
36081015300,1,2574
36081015400,3,2360
36081015500,15,2633
36081015600,1,3408
36081015700,3,1627
36081015900,0,4692
36081016100,1,2855
36081016300,1,4530
36081016400,4,3577
36081016600,3,3678
36081016800,6,2917
36081016900,7,5576
36081017000,8,2397
36081017100,14,20
36081017200,8,2216
36081017400,4,2380
36081017600,2,2024
36081017800,6,1913
36081017900,11,1127
36081018000,4,1098
36081018200,3,2243
36081018300,16,6694
36081018401,3,2339
36081018402,1,2190
36081018600,0,1729
36081018700,2,3136
36081018800,0,1263
36081018900,4,3583
36081019000,11,2199
36081019200,5,1990
36081019600,6,2691
36081019800,16,2797
36081020200,6,1407
36081020400,8,1930
36081020600,14,1753
36081020800,14,2536
36081021200,28,2706
36081021400,10,6006
36081021600,6,5538
36081021900,0,66
36081022001,2,5789
36081022002,2,5146
36081022900,4,1
36081023000,0,1747
36081023200,6,5018
36081023500,8,8412
36081023600,15,2797
36081023800,16,5256
